,지역,정보공시 학교코드,학교명,설립구분,제외여부,1학년 학생수,2학년 학생수,3학년 학생수,4학년 학생수,5학년 학생수,6학년 학생수,학생수(계),교사수
0,부산광역시 연제구,S000003559,부산교육대학교부설초등학교,국립,N,79,95,95,95,95,95,560,29
1,부산광역시 중구,S020000625,광일초등학교,공립,N,32,43,36,36,49,62,262,17
2,부산광역시 중구,S020000626,남성초등학교,사립,N,90,89,83,69,44,63,438,23
3,부산광역시 남구,S020000628,대남초등학교,공립,N,64,40,67,44,38,56,314,19
4,부산광역시 남구,S020000629,대연초등학교,공립,N,112,130,130,151,152,187,871,48
5,부산광역시 남구,S020000630,대천초등학교,공립,N,75,90,101,86,105,125,591,32
6,부산광역시 동구,S020000632,동일중앙초등학교,공립,N,152,151,174,138,170,151,948,50
7,부산광역시 남구,S020000633,동천초등학교,공립,N,36,47,52,45,59,55,302,18
8,부산광역시 남구,S020000634,동항초등학교,공립,N,22,9,34,18,32,38,156,12
9,부산광역시 남구,S020000635,문현초등학교,공립,N,79,77,101,93,82,95,538,35
10,부산광역시 남구,S020000637,백운초등학교,공립,N,19,28,23,33,42,42,194,13
11,부산광역시 동구,S020000638,범일초등학교,공립,N,28,29,33,31,38,33,200,15
12,부산광역시 중구,S020000639,보수초등학교,공립,N,26,26,24,36,30,20,165,14
13,부산광역시 중구,S020000640,봉래초등학교,공립,N,28,27,32,32,35,42,201,16
14,부산광역시 남구,S020000641,분포초등학교,공립,N,131,155,160,188,177,193,1010,52
15,부산광역시 금정구,S020000642,부산삼육초등학교,사립,N,60,60,64,64,60,28,336,11
16,부산광역시 남구,S020000643,석포초등학교,공립,N,118,96,121,133,89,89,653,39
17,부산광역시 동구,S020000644,성남초등학교,공립,N,105,100,86,103,73,89,559,34
18,부산광역시 남구,S020000645,성동초등학교,공립,N,115,141,128,140,148,143,826,45
19,부산광역시 남구,S020000646,성천초등학교,공립,N,24,25,20,9,17,17,117,12
20,부산광역시 동구,S020000647,수성초등학교,공립,N,17,24,21,29,28,35,157,13
21,부산광역시 동구,S020000648,수정초등학교,공립,N,65,57,68,48,69,81,396,24
22,부산광역시 남구,S020000650,연포초등학교,공립,N,181,215,205,214,215,227,1263,62
23,부산광역시 남구,S020000651,용당초등학교,공립,N,10,13,19,10,25,19,103,11
24,부산광역시 남구,S020000652,용산초등학교,공립,N,41,41,55,54,59,70,326,21
25,부산광역시 남구,S020000654,용호초등학교,공립,N,55,66,76,77,64,92,441,25
