,FOND_SC_CODE,COL_S_SUM,TEACH_CNT,SCHUL_CODE,PBAN_EXCP_YN,BNHH_YN,ATPT_OFCDC_ORG_NM,COL_C_SUM,TEACH_CAL,COL_S8,COL_S7,COL_S6,COL_S5,SCHUL_NM,COL_S4,COL_S3,ATPT_OFCDC_ORG_CODE,COL_S2,LCTN_SC_CODE,COL_S1,ADRCD_CD,JU_ORG_NM,COL_C8,COL_C7,COL_8,COL_C6,COL_C5,COL_7,COL_C4,COL_6,COL_C3,COL_5,COL_C2,COL_4,COL_C1,COL_3,COL_2,COL_1,ADRCD_NM,SCHUL_KND_SC_CODE,JU_ORG_CODE,COL_SUM
0,국립,610,32,S000003511,N,N,서울특별시교육청,28,19.1,0,4,110,107,서울교육대학교부설초등학교,104,95,A000000001,95,01,95,1165010800,교육부,0,1,0.0,5,5,4.0,5,22.0,4,21.4,4,20.8,4,23.8,23.8,23.8,서울특별시 서초구,02,A000000001,21.8
1,국립,595,37,S000003563,N,N,서울특별시교육청,31,16.1,0,7,98,103,서울대학교사범대학부설초등학교,105,101,A000000001,97,01,84,1111016800,교육부,0,1,0.0,5,5,7.0,5,19.6,5,20.6,5,21.0,5,20.2,19.4,16.8,서울특별시 종로구,02,A000000001,19.2
2,공립,1067,43,S010000738,N,N,서울특별시교육청,33,24.8,0,0,176,183,서울개일초등학교,181,164,B100000001,178,01,185,1168010300,서울특별시강남서초교육지원청,0,0,0.0,6,6,0.0,6,29.3,5,30.5,5,30.2,5,32.8,35.6,37.0,서울특별시 강남구,02,B100000249,32.3
3,공립,649,46,S010000739,N,N,서울특별시교육청,42,14.1,0,3,79,110,서울개포초등학교,121,118,B100000001,87,01,131,1168010300,서울특별시강남서초교육지원청,0,2,0.0,6,6,1.5,7,13.2,7,18.3,7,17.3,7,16.9,12.4,18.7,서울특별시 강남구,02,B100000249,15.5
4,공립,737,42,S010000741,N,N,서울특별시교육청,34,17.5,0,11,139,133,서울구룡초등학교,115,115,B100000001,102,01,122,1168010300,서울특별시강남서초교육지원청,0,2,0.0,6,6,5.5,5,23.2,5,22.2,5,23.0,5,23.0,20.4,24.4,서울특별시 강남구,02,B100000249,21.7
5,공립,248,20,S010000742,N,N,서울특별시교육청,15,12.4,0,12,42,46,서울논현초등학교,33,43,B100000001,29,01,43,1168010800,서울특별시강남서초교육지원청,0,2,0.0,2,3,6.0,2,21.0,2,15.3,2,16.5,2,21.5,14.5,21.5,서울특별시 강남구,02,B100000249,16.5
6,공립,1175,57,S010000743,N,N,서울특별시교육청,48,20.6,0,2,264,256,서울대곡초등학교,210,162,B100000001,170,01,111,1168010600,서울특별시강남서초교육지원청,0,1,0.0,11,11,2.0,9,24.0,6,23.3,6,23.3,4,27.0,28.3,27.8,서울특별시 강남구,02,B100000249,24.5
7,공립,1985,81,S010000744,N,N,서울특별시교육청,62,24.5,0,0,410,450,서울대도초등학교,332,294,B100000001,246,01,253,1168011800,서울특별시강남서초교육지원청,0,0,0.0,13,14,0.0,11,31.5,9,32.1,8,30.2,7,32.7,30.8,36.1,서울특별시 강남구,02,B100000249,32.0
8,공립,849,44,S010000745,N,N,서울특별시교육청,32,19.3,0,2,181,148,서울대모초등학교,148,137,B100000001,124,01,109,1168011400,서울특별시강남서초교육지원청,0,1,0.0,7,5,2.0,5,25.9,5,29.6,5,29.6,4,27.4,24.8,27.3,서울특별시 강남구,02,B100000249,26.5
9,공립,562,41,S010000746,N,N,서울특별시교육청,28,13.7,0,6,138,95,서울대왕초등학교,91,76,B100000001,85,01,71,1168011100,서울특별시강남서초교육지원청,0,2,0.0,6,4,3.0,4,23.0,4,23.8,4,22.8,4,19.0,21.3,17.8,서울특별시 강남구,02,B100000249,20.1
