,시도,우편번호,법정동주소,Latitude,Longitude,도로명주소,사용승인일,동수,세대수,최고층수,단지명
0,부산광역시,48917.0,부산광역시 중구 영주동 161 영주동금호타운,35.1113962,129.0302037,부산광역시 중구 영주로 51,19970828.0,1,322,16,영주동금호타운
1,부산광역시,48905.0,부산광역시 중구 영주동 160 영주동아11블럭아파트,35.1138757,129.0300448,부산광역시 중구 영주로 65,19981030.0,2,328,16,영주동아11블럭아파트
2,부산광역시,48905.0,부산광역시 중구 영주동 92 영주동아아파트9B,35.1138757,129.0300448,부산광역시 중구 영주로 73,19981030.0,2,204,16,영주동아아파트9B
3,부산광역시,,부산광역시 중구 영주동 5- 우남이채롬아파트,35.1135894,129.0352582,,20060306.0,1,111,18,우남이채롬아파트
4,부산광역시,,부산광역시 중구 대창동1가 54-67 부원아파트,35.1078678,129.0358417,,19721104.0,1,142,12,부원아파트
5,부산광역시,,부산광역시 중구 동광동5가 16-11 동광대동맨션,35.1072568,129.0340641,,19810612.0,1,120,1,동광대동맨션
6,부산광역시,48932.0,부산광역시 중구 대청동1가 37-1 코모도에스테이트,35.1029543,129.0335981,부산광역시 중구 대청로 121-1,20131010.0,1,268,14,코모도에스테이트
7,부산광역시,,부산광역시 중구 대청동4가 79-1 새들맨션,35.1046289,129.0298635,,19810408.0,1,131,1,새들맨션
8,부산광역시,,부산광역시 중구 보수동1가 41-1 대림에이스타운,35.1067289,129.0253982,,19941022.0,1,140,1,대림에이스타운
9,부산광역시,49220.0,부산광역시 서구 동대신동1가 24 동대신역비스타동원아파트,35.1114417,129.0235211,부산광역시 서구 보수대로154번길 29,20210330.0,6,503,29,동대신역비스타동원아파트
10,부산광역시,49216.0,"부산광역시 서구 동대신동2가 313-143,부산광역시 서구 동대신동2가 313-145,부산광역시 서구 동대신동2가 313,부산광역시 서구 동대신동2가 313-147,부산광역시 서구 동대신동2가 313-148 삼익",35.1119186,129.0190942,"부산광역시 서구 대영로85번길 34-47,부산광역시 서구 대영로73번길 39",19760619.0,12,410,5,삼익
11,부산광역시,,부산광역시 서구 동대신동3가 140- 구덕금호아파트,35.1159777,129.0180653,,20010514.0,1,112,17,구덕금호아파트
12,부산광역시,49211.0,부산광역시 서구 동대신동3가 173 대신문화아파트,35.1150347,129.015898,부산광역시 서구 구덕로 350,19711217.0,1,248,10,대신문화아파트
13,부산광역시,49201.0,부산광역시 서구 동대신동3가 63-2 동대신동 브라운스톤하이포레아파트,35.1179263,129.0192447,부산광역시 서구 동대로19번길 32,20200922.0,6,554,27,동대신동 브라운스톤하이포레아파트
14,부산광역시,49232.0,부산광역시 서구 서대신동1가 212 대신푸르지오아파트,35.1075131,129.015079,부산광역시 서구 대영로38번길 11,20180427.0,8,959,34,대신푸르지오아파트
15,부산광역시,49229.0,부산광역시 서구 서대신동2가 414-1 대신2차푸르지오,35.1089734,129.0120884,부산광역시 서구 고운들로 181,20210122.0,7,815,31,대신2차푸르지오
16,부산광역시,49230.0,부산광역시 서구 서대신동2가 394-7 대신해모로센트럴아파트,35.1108778,129.0109141,부산광역시 서구 대티로 178,20220729.0,8,733,29,대신해모로센트럴아파트
17,부산광역시,49228.0,부산광역시 서구 서대신동2가 270 보람더하임아파트,35.1097283,129.0138159,부산광역시 서구 대영로 24,20051209.0,3,200,15,보람더하임아파트
18,부산광역시,,부산광역시 서구 서대신동3가 566-5 구덕자유아파트,35.1135476,129.0126319,,19960418.0,1,116,21,구덕자유아파트
19,부산광역시,49207.0,부산광역시 서구 서대신동3가 31-57 금호어울림아파트,35.1188939,129.0107881,부산광역시 서구 꽃마을로 57,20040204.0,3,256,21,금호어울림아파트
20,부산광역시,49207.0,부산광역시 서구 서대신동3가 161-13 남성한빛아파트,35.1175051,129.0110382,부산광역시 서구 꽃마을로 43,19961010.0,2,564,23,남성한빛아파트
21,부산광역시,49202.0,부산광역시 서구 서대신동3가 752 대신공원한신휴플러스,35.1194638,129.0141504,부산광역시 서구 보수대로 284,20140214.0,5,321,24,대신공원한신휴플러스
22,부산광역시,49203.0,부산광역시 서구 서대신동3가 117-1 대신더샵아파트,35.1189604,129.0126654,부산광역시 서구 꽃마을로 48,20180130.0,5,429,24,대신더샵아파트
23,부산광역시,49208.0,부산광역시 서구 서대신동3가 650 대신롯데캐슬아파트,35.1150381,129.0107129,부산광역시 서구 대티로 161,20141030.0,10,753,22,대신롯데캐슬아파트
24,부산광역시,49202.0,부산광역시 서구 서대신동3가 19-9 유진대림아파트,35.1207881,129.0117847,부산광역시 서구 보수대로320번길 11,19980309.0,1,218,23,유진대림아파트
25,부산광역시,49208.0,부산광역시 서구 서대신동3가 694-1 협성르네상스타운,35.1129501,129.0101495,부산광역시 서구 대티로 159,20011122.0,8,490,20,협성르네상스타운
26,부산광역시,49223.0,부산광역시 서구 부용동1가 46-8 한웅드리머스아파트,35.1060288,129.0209584,부산광역시 서구 구덕로 238,20150911.0,2,176,17,한웅드리머스아파트
27,부산광역시,49239.0,부산광역시 서구 부민동3가 76 부민e-편한세상아파트,35.1040361,129.0159715,부산광역시 서구 해돋이로 313,20040916.0,8,613,20,부민e-편한세상아파트
28,부산광역시,49247.0,부산광역시 서구 토성동1가 51-1 봄여름가을겨울아파트,35.0983397,129.0244193,부산광역시 서구 보수대로 15,20050420.0,1,201,20,봄여름가을겨울아파트
29,부산광역시,49247.0,부산광역시 서구 토성동1가 25-1 토성동경동리인타워,35.0992933,129.0239845,부산광역시 서구 보수대로 27,20180727.0,2,452,49,토성동경동리인타워
30,부산광역시,49242.0,부산광역시 서구 아미동2가 286 경동포레스트힐 행복주택 아미,35.1002404,129.0130283,부산광역시 서구 까치고개로130번길 11-4,20230901.0,4,767,20,경동포레스트힐 행복주택 아미
31,부산광역시,49265.0,부산광역시 서구 남부민동 706 남부민풀리페,35.0829407,129.0195667,부산광역시 서구 해돋이로 23,20130625.0,6,782,24,남부민풀리페
32,부산광역시,49254.0,부산광역시 서구 남부민동 685 남부민현대타운,35.0926213,129.0244342,부산광역시 서구 충무대로 246,19990814.0,1,180,22,남부민현대타운
33,부산광역시,,부산광역시 서구 남부민동 653- 대진타워 ,35.0872604,129.023891,,19850604.0,1,116,1,대진타워 
34,부산광역시,49263.0,부산광역시 서구 남부민동 523-1 송도대림아파트,35.0820213,129.0244376,부산광역시 서구 충무대로 133,20030811.0,2,440,28,송도대림아파트
35,부산광역시,49256.0,부산광역시 서구 남부민동 647-17 충무대로 봄여름가을겨울 아파트,35.0910355,129.0239953,부산광역시 서구 충무대로 229,20200413.0,2,190,20,충무대로 봄여름가을겨울 아파트
36,부산광역시,,부산광역시 서구 암남동 419- e편한세상 송도 더퍼스트비치,35.0768014,129.0151063,,20240809.0,10,1302,34,e편한세상 송도 더퍼스트비치
37,부산광역시,49270.0,부산광역시 서구 암남동 546-14 비스타동원 더비치테라스,35.0745914,129.0151872,부산광역시 서구 암남공원로 16,20231010.0,5,295,34,비스타동원 더비치테라스
38,부산광역시,49275.0,부산광역시 서구 암남동 764 송도 서린엘마르아파트,35.0712161999999,129.0176154,부산광역시 서구 송도해변로 21,20160429.0,2,168,24,송도 서린엘마르아파트
39,부산광역시,49268.0,부산광역시 서구 암남동 16-6 송도동일스위트,35.0807317,129.0120113,부산광역시 서구 성산길 47-17,20060928.0,2,180,19,송도동일스위트
40,부산광역시,49265.0,부산광역시 서구 암남동 81-23 송도삼경빌라아파트,35.079843,129.0179552,부산광역시 서구 감천로 277,19890810.0,2,181,15,송도삼경빌라아파트
41,부산광역시,49265.0,부산광역시 서구 암남동 81-12 송도자유비치아파트,35.0817305,129.019476,부산광역시 서구 천해로7번길 33,19971128.0,1,295,20,송도자유비치아파트
42,부산광역시,49275.0,부산광역시 서구 암남동 595 송도풍림아이원,35.073066,129.0162611,부산광역시 서구 암남공원로 39,20100209.0,3,239,25,송도풍림아이원
43,부산광역시,49274.0,부산광역시 서구 암남동 611-5 송도현대아파트,35.0702608,129.0171222,부산광역시 서구 암남공원로 72,19921231.0,2,208,15,송도현대아파트
44,부산광역시,,부산광역시 서구 암남동 81-19 신익별장아파트,35.0801208,129.0198717,,19890518.0,3,115,6,신익별장아파트
45,부산광역시,49265.0,부산광역시 서구 암남동 64-2 정림비치타운아파트,35.08101,129.0172043,부산광역시 서구 감천로 271,19930225.0,2,268,15,정림비치타운아파트
46,부산광역시,49274.0,부산광역시 서구 암남동 604-2 혜성비치타운,35.0713694,129.0156756,부산광역시 서구 암남공원로 52,19930428.0,1,150,15,혜성비치타운
47,부산광역시,49264.0,부산광역시 서구 암남동 123-15 힐스테이트이진베이시티,35.0774473,129.0235003,부산광역시 서구 송도해변로 192,20220524.0,3,1368,69,힐스테이트이진베이시티
48,부산광역시,48794.0,부산광역시 동구 초량동 1218 e편한세상부산항,35.124201,129.0404525,부산광역시 동구 홍곡로 50,20190723.0,4,752,36,e편한세상부산항
49,부산광역시,48795.0,부산광역시 동구 초량동 1224 범양레우스 센트럴베이,35.1221075,129.0424421,부산광역시 동구 초량중로 114,20200227.0,3,856,40,범양레우스 센트럴베이
50,부산광역시,48731.0,부산광역시 동구 초량동 1165-1 부산역 유림 로미오,35.1215073,129.0441024,부산광역시 동구 중앙대로274번길 7-7,20140527.0,1,286,17,부산역 유림 로미오
51,부산광역시,48731.0,부산광역시 동구 초량동 1165-11 부산역 유림줄리엣,35.121105,129.0438843,부산광역시 동구 중앙대로274번길 7-3,20140527.0,1,286,17,부산역 유림줄리엣
52,부산광역시,48731.0,부산광역시 동구 초량동 1166-1 센트럴베이동원로얄듀크비스타,35.1213386,129.0445905,부산광역시 동구 중앙대로286번길 10,20110616.0,1,274,37,센트럴베이동원로얄듀크비스타
53,부산광역시,48730.0,부산광역시 동구 초량동 1161-1 지원더뷰오션1차,35.1222516,129.0450681,부산광역시 동구 중앙대로286번길 7-8,20181025.0,1,165,35,지원더뷰오션1차
54,부산광역시,48730.0,부산광역시 동구 초량동 1160-1 지원더뷰오션2차,35.1230573,129.0454789,부산광역시 동구 중앙대로296번길 7-10,20191202.0,1,231,35,지원더뷰오션2차
55,부산광역시,48729.0,부산광역시 동구 초량동 1155 초량동반도보라스카이뷰,35.1237849,129.0459668,부산광역시 동구 중앙대로320번길 10,20060113.0,1,256,35,초량동반도보라스카이뷰
56,부산광역시,48799.0,부산광역시 동구 초량동 635-6 초량베스티움센트럴베이,35.123494,129.0396568,부산광역시 동구 홍곡로 37,20210826.0,7,449,28,초량베스티움센트럴베이
57,부산광역시,48787.0,부산광역시 동구 수정동 1048-35 아르미나,35.1257921,129.0366232,부산광역시 동구 홍곡남로 50,20010409.0,2,292,18,아르미나
58,부산광역시,48790.0,부산광역시 동구 수정동 1352 협성휴포레부산진역오션뷰아파트,35.1276725,129.0468455,부산광역시 동구 중앙대로 357,20190730.0,3,788,47,협성휴포레부산진역오션뷰아파트
59,부산광역시,48756.0,부산광역시 동구 좌천동 1168 두산위브범일뉴타운,35.1319028,129.0553257,부산광역시 동구 성남일로 5,20060627.0,3,466,25,두산위브범일뉴타운
60,부산광역시,,부산광역시 동구 좌천동 548- 린다스마트포레,35.1338417,129.0530527,,20180419.0,1,101,20,린다스마트포레
61,부산광역시,48728.0,"부산광역시 동구 좌천동 67-27,부산광역시 동구 좌천동 120 부산항일동미라주더오션아파트",35.1319534,129.0526862,"부산광역시 동구 자성로 2,부산광역시 동구 자성로 6",20211230.0,5,546,39,부산항일동미라주더오션아파트
62,부산광역시,48769.0,"부산광역시 동구 좌천동 1170,부산광역시 동구 좌천동 945-5 좌천 서린엘마르더뷰",35.1364766,129.0471057,부산광역시 동구 망양로 850,20180803.0,4,257,23,좌천 서린엘마르더뷰
63,부산광역시,48773.0,부산광역시 동구 좌천동 808 좌천동원드림타운,35.1324919,129.0507642,부산광역시 동구 고관로 173,20020328.0,3,298,25,좌천동원드림타운
64,부산광역시,48753.0,부산광역시 동구 범일동 252-1562 두산위브더제니스 하버시티,35.1322188,129.0586514,부산광역시 동구 범일로 21,20230525.0,7,2040,49,두산위브더제니스 하버시티
65,부산광역시,48748.0,부산광역시 동구 범일동 825-7 두산위브포세이돈Ⅱ,35.1359809,129.063969,부산광역시 동구 자성로116번길 2,20061229.0,4,690,47,두산위브포세이돈Ⅱ
66,부산광역시,48740.0,부산광역시 동구 범일동 830-100 삼익,35.1397054,129.0650443,부산광역시 동구 조방로16번길 20,19780923.0,1,160,15,삼익
67,부산광역시,48752.0,부산광역시 동구 범일동 1655 오션브릿지,35.1335945,129.0587464,부산광역시 동구 범일로 41,20170725.0,2,652,48,오션브릿지
68,부산광역시,48742.0,부산광역시 동구 범일동 830-296 진흥마제스타워범일,35.137646,129.0654775,부산광역시 동구 자성로133번길 6,20101109.0,2,305,40,진흥마제스타워범일
69,부산광역시,48726.0,부산광역시 동구 범일동 62-720 한성기린프라자,35.1389996,129.0569634,부산광역시 동구 중앙대로 514,19971025.0,1,547,28,한성기린프라자
70,부산광역시,49041.0,부산광역시 영도구 대평동1가 1 대동대교아파트,35.0911473,129.0360342,부산광역시 영도구 대평로 16,19800830.0,4,462,12,대동대교아파트
71,부산광역시,49053.0,부산광역시 영도구 남항동1가 217-1 남항부백자연애아파트,35.090272,129.0413388,부산광역시 영도구 절영로35번길 46,20160715.0,1,184,15,남항부백자연애아파트
72,부산광역시,49069.0,부산광역시 영도구 영선동2가 175 동부산아이존빌아파트,35.0883703,129.0435081,부산광역시 영도구 영선대로 98,20041130.0,5,416,20,동부산아이존빌아파트
73,부산광역시,49078.0,부산광역시 영도구 영선동4가 245-1 영도대원아파트,35.0817877,129.0433417,부산광역시 영도구 남항새싹길 79,19910105.0,5,448,15,영도대원아파트
74,부산광역시,49080.0,부산광역시 영도구 영선동4가 186-46 영선동반도보라아파트,35.0813951,129.0397644,부산광역시 영도구 해안산책길 30,20000616.0,10,877,25,영선동반도보라아파트
