매장명,구,주소,위도,경도
스타벅스역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),37.501087,127.043069
스타벅스논현역사거리,강남구,서울특별시 강남구 강남대로 538 (논현동),37.510178,127.022223
스타벅스신사역성일빌딩,강남구,서울특별시 강남구 강남대로 584 (논현동),37.5139309,127.0206057
스타벅스국기원사거리,강남구,서울특별시 강남구 테헤란로 125 (역삼동),37.499517,127.031495
스타벅스대치재경빌딩,강남구,서울특별시 강남구 남부순환로 2947 (대치동),37.494668,127.062583
스타벅스봉은사역,강남구,서울특별시 강남구 봉은사로 619 (삼성동),37.515,127.063196
스타벅스압구정윤성빌딩,강남구,서울특별시 강남구 논현로 834 (신사동),37.5227934,127.0286009
스타벅스코엑스별마당,강남구,서울특별시 강남구 영동대로 513 (삼성동),37.51015,127.060275
스타벅스삼성역섬유센터R,강남구,서울특별시 강남구 테헤란로 518 (대치동),37.50775,127.060651
스타벅스압구정R,강남구,서울특별시 강남구 언주로 861 (신사동),37.5273669,127.033061
스타벅스수서역R,강남구,서울특별시 강남구 광평로 281 (수서동),37.488008,127.10265
스타벅스양재강남빌딩R,강남구,서울특별시 강남구 남부순환로 2621 (도곡동),37.485192,127.036685
스타벅스선릉동신빌딩R,강남구,서울특별시 강남구 테헤란로 409 (삼성동),37.505321,127.050409
스타벅스봉은사로선정릉,강남구,서울특별시 강남구 봉은사로 446 (삼성동),37.51131683405367,127.04846338902249
스타벅스강남오거리,강남구,서울특별시 강남구 봉은사로2길 39 (역삼동),37.502117,127.026672
스타벅스스타필드코엑스몰R,강남구,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,37.50999,127.061455
스타벅스강남구청정문,강남구,서울특별시 강남구 학동로 419 (청담동),37.518181,127.045995
스타벅스도곡공원,강남구,서울특별시 강남구 도곡로 205 (역삼동),37.492805,127.041309
스타벅스강남R,강남구,서울특별시 강남구 강남대로 390 (역삼동),37.497711,127.028439
스타벅스대치은마사거리,강남구,서울특별시 강남구 도곡로 457 (대치동),37.498973,127.060172
스타벅스청담영동대로,강남구,서울특별시 강남구 영동대로 720 (청담동),37.522156,127.056449
스타벅스압구정,강남구,서울특별시 강남구 압구정로30길 17 (신사동),37.526283,127.02956
스타벅스신사가로수,강남구,서울특별시 강남구 가로수길 59 ,37.521933,127.022521
스타벅스청담스타R,강남구,서울특별시 강남구 도산대로57길 24 (청담동),37.525216,127.041827
스타벅스강남우성,강남구,서울특별시 강남구 강남대로 328 (역삼동),37.492396,127.03091
