순위,노래제목,가수
1,APT.,"로제 (ROSÉ),Bruno Mars"
2,Whiplash,aespa
3,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
4,POWER,G-DRAGON
5,HAPPY,DAY6 (데이식스)
6,UP (KARINA Solo),aespa
7,내 이름 맑음,QWER
8,나는 반딧불,황가람
9,Mantra,제니 (JENNIE)
10,내게 사랑이 뭐냐고 물어본다면,로이킴
11,Welcome to the Show,DAY6 (데이식스)
12,Supernova,aespa
13,한 페이지가 될 수 있게,DAY6 (데이식스)
14,사랑은 늘 도망가,임영웅
15,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
16,소나기,이클립스 (ECLIPSE)
17,Pump Up The Volume!,PLAVE
18,WAY 4 LUV,PLAVE
19,천상연,이창섭
20,Supersonic,프로미스나인
21,예뻤어,DAY6 (데이식스)
22,number one girl,로제 (ROSÉ)
23,고민중독,QWER
24,우리들의 블루스,임영웅
25,온기,임영웅
26,달랐을까,PLAVE
27,Home,임영웅
28,슬픈 초대장,순순희(지환)
29,How Sweet,NewJeans
30,모래 알갱이,임영웅
31,녹아내려요,DAY6 (데이식스)
32,Drowning,WOODZ
33,다시 만날 수 있을까,임영웅
34,이제 나만 믿어요,임영웅
35,Love wins all,아이유
36,Small girl (feat. 도경수(D.O.)),이영지
37,From,PLAVE
38,우리 영화,PLAVE
39,나는 아픈 건 딱 질색이니까,(여자)아이들
40,Do or Die,임영웅
41,무지개,임영웅
42,London Boy,임영웅
43,클락션 (Klaxon),(여자)아이들
44,Polaroid,임영웅
45,첫 만남은 계획대로 되지 않아,TWS (투어스)
46,버추얼 아이돌,PLAVE
47,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
48,인생찬가,임영웅
49,너의 모든 순간,성시경
50,Watch Me Woo!,PLAVE
51,Magnetic,아일릿(ILLIT)
52,에피소드,이무진
53,연애편지,임영웅
54,헤어지자 말해요,박재정
55,주저하는 연인들을 위해,잔나비
56,Supernatural,NewJeans
57,Sticky,KISS OF LIFE
58,Armageddon,aespa
59,비의 랩소디,임재현
60,Merry PLLIstmas,PLAVE
61,미안해 미워해 사랑해,Crush
62,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
63,보금자리,임영웅
64,청춘만화,이무진
65,인사,범진
66,Seven (feat. Latto) - Clean Ver.,정국
67,다정히 내 이름을 부르면,"경서예지,전건호"
68,Igloo,KISS OF LIFE
69,Letter To Myself,태연 (TAEYEON)
70,Ditto,NewJeans
71,네모네모,YENA (최예나)
72,해야 (HEYA),IVE (아이브)
73,너와의 모든 지금,재쓰비 (JAESSBEE)
74,Cherish (My Love),아일릿(ILLIT)
75,Hype Boy,NewJeans
76,Congratulations,DAY6 (데이식스)
77,I AM,IVE (아이브)
78,SPOT! (feat. JENNIE),지코 (ZICO)
79,청혼하지 않을 이유를 못 찾았어,이무진
80,Bubble Gum,NewJeans
81,사랑인가 봐,멜로망스
82,멈추지 않아,PLAVE
83,취중고백,김민석
84,To. X,태연 (TAEYEON)
85,사건의 지평선,윤하 (YOUNHA)
86,봄날,방탄소년단
87,Dynamite,방탄소년단
88,사막에서 꽃을 피우듯,우디 (Woody)
89,Boom Boom Bass,RIIZE
90,DRIP,BABYMONSTER
91,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴 (SEVENTEEN)
92,Drama,aespa
93,Love 119,RIIZE
94,오래된 노래,"허각,임한별,이무진,이진성 (먼데이 키즈),김희재,#안녕"
95,I Don't Think That I Like Her,Charlie Puth
96,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
97,별별별 (See that?),NMIXX
98,ETA,NewJeans
99,플러팅,황인욱
100,Attention,NewJeans
