매장명,위도,경도,구,주소,전화번호,매장타입
역삼아레나빌딩,37.501087,127.043069,강남구,서울특별시 강남구 언주로 425 (역삼동),1522-3232,general
논현역사거리,37.510178,127.022223,강남구,서울특별시 강남구 강남대로 538 (논현동),1522-3232,general
신사역성일빌딩,37.5139309,127.0206057,강남구,서울특별시 강남구 강남대로 584 (논현동),1522-3232,general
국기원사거리,37.499517,127.031495,강남구,서울특별시 강남구 테헤란로 125 (역삼동),1522-3232,general
대치재경빌딩,37.494668,127.062583,강남구,서울특별시 강남구 남부순환로 2947 (대치동),1522-3232,general
봉은사역,37.515000,127.063196,강남구,서울특별시 강남구 봉은사로 619 (삼성동),1522-3232,general
압구정윤성빌딩,37.5227934,127.0286009,강남구,서울특별시 강남구 논현로 834 (신사동),1522-3232,general
코엑스별마당,37.510150,127.060275,강남구,서울특별시 강남구 영동대로 513 (삼성동),1522-3232,general
삼성역섬유센터R,37.507750,127.060651,강남구,서울특별시 강남구 테헤란로 518 (대치동),1522-3232,reserve
압구정R,37.5273669,127.033061,강남구,서울특별시 강남구 언주로 861 (신사동),1522-3232,reserve
수서역R,37.488008,127.102650,강남구,서울특별시 강남구 광평로 281 (수서동),1522-3232,reserve
양재강남빌딩R,37.485192,127.036685,강남구,서울특별시 강남구 남부순환로 2621 (도곡동),1522-3232,reserve
선릉동신빌딩R,37.505321,127.050409,강남구,서울특별시 강남구 테헤란로 409 (삼성동),1522-3232,reserve
봉은사로선정릉,37.51131683405367,127.04846338902248,강남구,서울특별시 강남구 봉은사로 446 (삼성동),1522-3232,general
강남오거리,37.502117,127.026672,강남구,서울특별시 강남구 봉은사로2길 39 (역삼동),1522-3232,general
스타필드코엑스몰R,37.50999,127.061455,강남구,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,1522-3232,reserve
강남구청정문,37.518181,127.045995,강남구,서울특별시 강남구 학동로 419 (청담동),1522-3232,general
도곡공원,37.492805,127.041309,강남구,서울특별시 강남구 도곡로 205 (역삼동),1522-3232,general
강남R,37.497711,127.028439,강남구,서울특별시 강남구 강남대로 390 (역삼동),1522-3232,reserve
대치은마사거리,37.498973,127.060172,강남구,서울특별시 강남구 도곡로 457 (대치동),1522-3232,general
청담영동대로,37.522156,127.056449,강남구,서울특별시 강남구 영동대로 720 (청담동),1522-3232,general
압구정,37.526283,127.02956,강남구,서울특별시 강남구 압구정로30길 17 (신사동),1522-3232,general
신사가로수,37.521933,127.022521,강남구,서울특별시 강남구 가로수길 59 ,1522-3232,general
청담스타R,37.525216,127.041827,강남구,서울특별시 강남구 도산대로57길 24 (청담동),1522-3232,reserve
강남우성,37.492396,127.03091,강남구,서울특별시 강남구 강남대로 328 (역삼동),1522-3232,general
학동사거리,37.52236449999999,127.03795430000002,강남구,서울특별시 강남구 도산대로 328 (논현동),1522-3232,general
대치사거리,37.503331,127.058817,강남구,서울특별시 강남구 삼성로 402 (대치동),1522-3232,general
포스코사거리,37.5075307,127.05742710000004,강남구,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,1522-3232,general
을지병원사거리,37.5191632,127.0286446,강남구,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",1522-3232,general
신사역,37.5162021,127.0207428,강남구,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,1522-3232,general
도곡역,37.492167,127.057398,강남구,서울특별시 강남구 남부순환로 2909 (대치동),1522-3232,general
서울세관사거리,37.514887,127.035653,강남구,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,1522-3232,general
청담사거리,37.5236351,127.04686509999999,강남구,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,1522-3232,general
한티역,37.496801,127.055055,강남구,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",1522-3232,general
역삼초교사거리,37.4941059,127.03299730000003,강남구,서울특별시 강남구 역삼로 123 (역삼동),1522-3232,general
코엑스몰,37.513715,127.059245,강남구,서울특별시 강남구 영동대로 513 (삼성동) O103호,1522-3232,general
가로수길,37.5231593,127.02162499999997,강남구,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",1522-3232,general
역삼대로,37.501623,127.039375,강남구,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",1522-3232,general
역삼포스코,37.499721,127.033582,강남구,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",1522-3232,general
강남대로,37.50314,127.025546,강남구,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",1522-3232,general
청담,37.5243631,127.05155990000003,강남구,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",1522-3232,general
삼성도심공항,37.5097863,127.05791339999996,강남구,서울특별시 강남구 테헤란로87길 33 (삼성동),1522-3232,general
삼성교,37.507794,127.06517,강남구,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",1522-3232,general
학동역,37.51464884,127.0307302,강남구,서울특별시 강남구 논현로 704 (논현동),1522-3232,general
대치,37.49966175,127.0622171,강남구,서울특별시 강남구 도곡로 511 (대치동),1522-3232,general
신세계푸드마켓도곡,37.490298,127.054895,강남구,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",1522-3232,general
삼성,37.50689645929321,127.05571872453659,강남구,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",1522-3232,general
